09:17:25.697 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'appServlet-servlet': startup date [Wed Aug 05 09:17:24 CST 2015]; parent: Root WebApplicationContext
09:17:25.859 [main] INFO  metrics.controller.TestController - =============================
09:17:26.010 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
09:17:26.127 [main] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'appServlet': initialization completed in 1851 ms
09:17:54.279 [qtp764262251-16] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/assets/flash/ZeroClipboard.swf] in DispatcherServlet with name 'appServlet'
09:18:24.797 [qtp764262251-16] INFO  annotation.log.SystemLogAspect - Controller===metrics.controller.MainController=====index=====创建元词:=====
09:18:25.344 [qtp764262251-19] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/assets/flash/ZeroClipboard.swf] in DispatcherServlet with name 'appServlet'
09:23:07.485 [qtp764262251-19] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/dashboard/ie-emulation-modes-warning.js] in DispatcherServlet with name 'appServlet'
09:23:07.656 [qtp764262251-17] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/assets/flash/ZeroClipboard.swf] in DispatcherServlet with name 'appServlet'
09:23:09.801 [qtp764262251-16] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/assets/flash/ZeroClipboard.swf] in DispatcherServlet with name 'appServlet'
09:23:12.678 [qtp764262251-13] INFO  annotation.log.SystemLogAspect - Controller===metrics.controller.MainController=====index=====创建元词:=====
09:23:12.699 [qtp764262251-14] INFO  annotation.log.SystemLogAspect - Controller===metrics.controller.MainController=====index=====创建元词:=====
